,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
29,JBL Live Free NC+ TWS – Kabellose in-Ear-Kopfhörer mit Noise Cancelling in Schwarz – Bis zu 21 Stunden Akkulaufzeit – INKL. Ladebox,,,"[{'info': 'Product Dimensions', 'value': '0.87 x 0.71 x 0.55 inches'}, {'info': 'Item Weight', 'value': '0.493 ounces'}, {'info': 'ASIN', 'value': 'B08FB2QG5Z'}, {'info': 'Item model number', 'value': 'JBLLIVEFRNCPTWSB'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required.'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'April 16, 2021'}, {'info': 'Manufacturer', 'value': 'Gortheous'}]",,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,"Wireless Earbuds, Muzili Wireless Sport Earbuds Bluetooth IPX7 Waterproof Headphones in Ear 36H Playtime Bluetooth Earphones with Ear Hooks & Charging Case for Running Workout",,,"[{'info': 'Product Dimensions', 'value': '3.79 x 2.56 x 1.38 inches'}, {'info': 'Item Weight', 'value': '6 ounces'}, {'info': 'ASIN', 'value': 'B0861CV1GZ'}, {'info': 'Item model number', 'value': 'G4'}, {'info': 'Batteries', 'value': '1 Lithium Polymer batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.2 out of 5 stars 4,680 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.2 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#6,321 in Earbud & In-Ear Headphones'}, {'info': 'Date First Available', 'value': 'May 12, 2020'}, {'info': 'Manufacturer', 'value': 'Muzili'}]",,,,,/Muzili-Headphones-Bluetooth-Waterproof-Immersive/product-reviews/B0861CV1GZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,"BENEWY Earbuds, in-Ear Earbuds Wired Earphones with Volume Control & Built-in Microphone, Wired in-Ear Headphones with Noise Isolating, Compatible with iPhone, Samsung, MP3, 3.5mm Interface",,,"[{'info': 'Product Dimensions', 'value': '7.09 x 2.36 x 0.71 inches'}, {'info': 'Item Weight', 'value': '0.635 ounces'}, {'info': 'ASIN', 'value': 'B083J88QRS'}, {'info': 'Item model number', 'value': 'BENEWY'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.3 out of 5 stars 4,578 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.3 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#29,437 in Audio Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'April 15, 2020'}, {'info': 'Manufacturer', 'value': 'BENEWY'}]",,,,,/Headphones-Earbuds-Microphone-Earphones-Isolating/product-reviews/B083J88QRS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
