,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
30,"Jumper Microsoft Laptop with Office 365 Personal for 1 Year, 13.3-inch FHD (1920 x 1080) IPS Display, 4GB RAM 64GB ROM, Windows 10 Laptop, Traditional Laptop Computers (WhiteGold)","[{'info': 'Brand', 'value': '\u200eJumper'}, {'info': 'Item model number', 'value': '\u200eEZbook S5'}, {'info': 'Hardware Platform', 'value': '\u200ePC'}, {'info': 'Operating System', 'value': '\u200eWindows 10'}, {'info': 'Item Weight', 'value': '\u200e2.75 pounds'}, {'info': 'Product Dimensions', 'value': '\u200e12.91 x 8.46 x 0.59 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e12.91 x 8.46 x 0.59 inches'}, {'info': 'Color', 'value': '\u200eWhiteGold'}, {'info': 'Processor Brand', 'value': '\u200eIntel'}, {'info': 'Processor Count', 'value': '\u200e4'}, {'info': 'Computer Memory Type', 'value': '\u200eDDR4 SDRAM'}, {'info': 'Flash Memory Size', 'value': '\u200e256'}, {'info': 'Hard Drive Interface', 'value': '\u200eATA-2'}, {'info': 'Voltage', 'value': '\u200e12 Volts'}, {'info': 'Batteries', 'value': '\u200e2 Lithium Polymer batteries required. (included)'}]","[{'info': 'Standing screen display size', 'value': '\u200e14'}, {'info': 'Max Screen Resolution', 'value': '\u200e1920 x 1080 Lines Per Inch'}, {'info': 'Processor', 'value': '\u200e2.4 GHz celeron_n3350'}, {'info': 'RAM', 'value': '\u200e8 GB DDR3L'}, {'info': 'Hard Drive', 'value': '\u200e64 GB SSD'}, {'info': 'Graphics Coprocessor', 'value': '\u200eIntel 500 Core'}, {'info': 'Chipset Brand', 'value': '\u200eIntel'}, {'info': 'Card Description', 'value': '\u200eIntegrated'}, {'info': 'Wireless Type', 'value': '\u200e802.11ac'}, {'info': 'Number of USB 2.0 Ports', 'value': '\u200e1'}, {'info': 'Average Battery Life (in hours)', 'value': '\u200e12 Hours'}]","[{'info': 'ASIN', 'value': 'B0899TYX9C'}, {'info': 'Date First Available', 'value': 'February 2, 2021'}]",,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,"Intel Core i7-10700K (Basistakt: 3,80GHz; Sockel: LGA1200; 125 Watt) Box",,,"[{'info': 'Product Dimensions', 'value': '7.09 x 6.3 x 708.66 inches'}, {'info': 'Item Weight', 'value': '0.352 ounces'}, {'info': 'ASIN', 'value': 'B0883P8CNM'}, {'info': 'Item model number', 'value': 'i7-10700K'}, {'info': 'Best Sellers Rank', 'value': '#723,503 in Electronics ( See Top 100 in Electronics ) #7,532 in Power Strips'}, {'info': 'Date First Available', 'value': 'March 30, 2021'}, {'info': 'Manufacturer', 'value': 'Intel'}]",TRIPPODO US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3LA4IZ88FFM0U,,,
35,,,,,,,,,
36,,,,,,,,,
37,"Corsair iCUE H100i RGB Pro XT, 240mm Radiator, Dual 120mm PWM Fans, Software Control, Liquid CPU Cooler",,,,,,,,/Corsair-Radiator-Software-Control-Liquid/product-reviews/B0829RTMKY?reviewerType=all_reviews
38,,,,,,,,,
39,,,,,,,,,
